Address,Offset,Description,Type
0,0,Configuration.32 Bit Floating point number 12345678,FloatingPoint32Bit
2,2,Configuration.Unsigned 32 Bit number 123456789,UnsignedInteger32Bit
4,4,Configuration.Unsigned 16 Bit number 12345,UnsignedInteger16Bit
5,5,Configuration.Site Number,UnsignedInteger32Bit
7,7,Configuration.Logger Serial Number,UnsignedInteger32Bit
9,9,Configuration.Logger Model Number,UnsignedInteger16Bit
10,10,Configuration.Logger Model Version Number,UnsignedInteger32Bit
12,12,Configuration.Logger Firmware Version Number,UnsignedInteger32Bit
14,14,Configuration.iPack Serial Number,UnsignedInteger32Bit
16,16,Configuration.iPack Model Number,UnsignedInteger16Bit
17,17,Configuration.iPack Model Version Number,UnsignedInteger32Bit
19,19,Configuration.iPack Firmware Version Number,UnsignedInteger32Bit
1500,0,One Second.Year UTC,UnsignedInteger16Bit
1501,1,One Second.Month UTC,UnsignedInteger16Bit
1502,2,One Second.Day UTC,UnsignedInteger16Bit
1503,3,One Second.Hour UTC,UnsignedInteger16Bit
1504,4,One Second.Minute UTC,UnsignedInteger16Bit
1505,5,One Second.Second UTC,UnsignedInteger16Bit
1506,6,One Second.Channel 1,FloatingPoint32Bit
1508,8,One Second.Channel 2,FloatingPoint32Bit
1510,10,One Second.Channel 3,FloatingPoint32Bit
1512,12,One Second.Channel 4,FloatingPoint32Bit
1514,14,One Second.Channel 5,FloatingPoint32Bit
1516,16,One Second.Channel 6,FloatingPoint32Bit
1518,18,One Second.Channel 7,FloatingPoint32Bit
1520,20,One Second.Channel 8,FloatingPoint32Bit
1522,22,One Second.Channel 9,FloatingPoint32Bit
1524,24,One Second.Channel 10,FloatingPoint32Bit
1526,26,One Second.Channel 11,FloatingPoint32Bit
1528,28,One Second.Channel 12,FloatingPoint32Bit
1530,30,One Second.Channel 13,FloatingPoint32Bit
1532,32,One Second.Channel 14,FloatingPoint32Bit
1534,34,One Second.Channel 15,FloatingPoint32Bit
1536,36,One Second.Channel 16,FloatingPoint32Bit
1538,38,One Second.Channel 17,FloatingPoint32Bit
1540,40,One Second.Channel 18,FloatingPoint32Bit
1542,42,One Second.Channel 19,FloatingPoint32Bit
1544,44,One Second.Channel 20,FloatingPoint32Bit
1546,46,One Second.Channel 21,FloatingPoint32Bit
1548,48,One Second.Channel 22,FloatingPoint32Bit
1550,50,One Second.Channel 23,FloatingPoint32Bit
1552,52,One Second.Channel 24,FloatingPoint32Bit
1554,54,One Second.Channel 25,FloatingPoint32Bit
1556,56,One Second.Channel 26,FloatingPoint32Bit
1558,58,One Second.Channel 27,FloatingPoint32Bit
1560,60,One Second.Channel 28,FloatingPoint32Bit
1562,62,One Second.Channel 29,FloatingPoint32Bit
